,inferred discount,true discount,subject,inferred learning rate,true learning rate,inferred dec temp,true dec temp,inferred weight,true weight,inferred prior lr,true prior lr,inferred prior weight,true prior weight
73,0.5214257,0.17087835,73,0.2877489,0.45434433,0.8658593,0.8240576,0.49084118,0.20097119,0.64157134,0.6053544,4.1963935,4.9220314
74,0.5153328,0.62965506,74,0.8201025,0.8299071,3.2110424,1.891021,0.7171327,0.6790267,0.50433236,0.6141891,3.0928686,2.9983587
75,0.53195506,0.88553876,75,0.21910232,0.17228705,2.326678,0.82783663,0.51479554,0.80709666,0.3061936,0.26914757,4.9639845,5.8311887
76,0.4955285,0.8186667,76,0.20676906,0.08224797,1.538269,2.0765824,0.5596121,0.75157976,0.4291037,0.3978191,3.9989405,4.2471333
77,0.67811507,0.5699383,77,0.7122706,0.6380036,4.663222,4.2198577,0.38358077,0.2572732,0.7874015,0.85394895,1.4992285,1.4489161
78,0.5580829,0.624492,78,0.27597058,0.23575997,4.2581778,4.017667,0.50183713,0.77638525,0.29010662,0.2614327,5.112326,5.848189
79,0.48987544,0.0017281771,79,0.26183453,0.07193607,1.3325441,0.54545796,0.5291234,0.16301262,0.48807856,0.5355526,1.6270761,1.7620836
80,0.5584253,0.5398909,80,0.2467439,0.48137367,4.796069,5.621461,0.45074725,0.7334898,0.34390494,0.3299713,5.1064243,5.5164404
81,0.46068248,0.5625282,81,0.8549657,0.88222677,4.627535,4.2629004,0.85064214,0.9058141,0.15990487,0.15538162,1.354997,0.9637506
82,0.7629609,0.8392174,82,0.9009702,0.8842742,2.3392124,2.4511664,0.22944374,0.0535568,0.6951778,0.70902497,0.8653739,0.7323346
83,0.5067065,0.015123785,83,0.2836864,0.34396142,0.9808667,1.3288003,0.51521325,0.8697429,0.6290814,0.6897547,4.813943,5.353059
84,0.48734242,0.35929793,84,0.25081205,0.19155627,4.760964,4.8751307,0.6560685,0.8983685,0.52281153,0.2911809,3.1766763,3.225263
85,0.5412206,0.2985866,85,0.44916463,0.93982404,1.0607291,0.5647291,0.5026349,0.06753814,0.61020815,0.6467439,4.880479,4.744769
86,0.5359159,0.5638522,86,0.5787421,0.5671105,1.9485437,3.4642873,0.45645398,0.07889795,0.23730806,0.2710504,4.5578766,5.3167934
87,0.57014173,0.31828558,87,0.5681127,0.31318134,4.8396583,3.90963,0.54403436,0.44018674,0.4343438,0.3724537,3.8879251,4.389406
88,0.44608802,0.0241521,88,0.37163284,0.056957245,1.2250706,1.9077551,0.5974955,0.34329534,0.21617022,0.22478902,0.79985875,0.09745717
89,0.485898,0.120180845,89,0.16002454,0.1697712,4.064899,2.9720144,0.42903438,0.45599616,0.04929409,0.032209396,3.6131883,4.346285
90,0.35917714,0.3748936,90,0.5866408,0.644055,1.3976738,1.3771201,0.53873444,0.63287693,0.17531428,0.030714631,1.2274643,2.283968
91,0.49384314,0.7469663,91,0.46394295,0.44992334,3.8289866,4.1557164,0.45710078,0.09315544,0.23119766,0.1912762,5.0139546,5.85925
92,0.53616905,0.49244046,92,0.8092276,0.8326131,5.123756,5.546443,0.75805223,0.9583616,0.8088656,0.88267654,2.6450014,3.044726
93,0.6312969,0.49741143,93,0.40646464,0.3929522,4.6753488,5.4802155,0.28429854,0.28036135,0.69482213,0.67258394,1.7726727,1.5403408
94,0.58113617,0.95932907,94,0.39661628,0.49455196,3.6849911,3.965724,0.41172528,0.4160483,0.20520541,0.1983037,4.7417755,5.355247
95,0.3901602,0.4133675,95,0.42487115,0.6373724,4.306263,4.7771554,0.620993,0.6115988,0.10849176,0.019683063,3.9051979,5.184804
96,0.5405707,0.8254474,96,0.21390167,0.025113702,0.65352017,0.2261002,0.50923246,0.12592691,0.11979086,0.17025101,2.587671,2.4595141
97,0.49120802,0.34230798,97,0.8347943,0.78307885,2.1296775,2.1533604,0.503686,0.67147917,0.33843756,0.39269513,4.2225175,4.642045
98,0.48196703,0.28397274,98,0.4820185,0.8362095,1.3390042,0.6327249,0.48309326,0.33286023,0.2710226,0.4516613,1.1052426,0.61126614
99,0.5502887,0.21001583,99,0.6124879,0.6421578,3.1191726,2.4571977,0.5340981,0.7432033,0.31089234,0.27693027,4.7498455,5.658126
100,0.5265946,0.066741765,100,0.24858893,0.6046615,0.6393014,0.035899043,0.50278383,0.057884097,0.68223214,0.8041334,5.111656,5.7626247
101,0.5485221,0.97540706,101,0.5693269,0.45654154,4.7105947,5.3235865,0.7456842,0.7395238,0.6760339,0.9272378,2.7216108,2.093443
102,0.45775834,0.16134953,102,0.4872331,0.5025513,1.0445144,1.1674862,0.59109354,0.6628076,0.27142358,0.24337411,0.98534113,0.8840368
103,0.4862529,0.9181766,103,0.6915396,0.54507476,1.1261753,1.0192995,0.5146344,0.15574408,0.21586773,0.47332263,0.8488838,0.10260558
104,0.4700587,0.26159257,104,0.29641426,0.14150941,1.7354041,3.4727705,0.4738575,0.6997715,0.21545498,0.076162815,1.0118506,0.84548306
105,0.4534061,0.05550003,105,0.4227733,0.32853687,2.2422554,1.0617778,0.71775365,0.6291337,0.52082,0.47233957,2.6980517,2.8380833
106,0.55088174,0.4029035,106,0.29857308,0.8728952,0.8683919,0.17926669,0.50562555,0.6002129,0.44860226,0.38892984,2.26065,2.848571
107,0.5396003,0.8739962,107,0.18395908,0.03318,2.0326407,3.4260726,0.50177974,0.65557164,0.50660414,0.51222944,5.04454,4.534957
108,0.603232,0.7212911,108,0.32491425,0.28111327,4.862237,5.653675,0.47233006,0.2555915,0.5191134,0.38322318,4.7759647,5.782589
109,0.49090356,0.46782023,109,0.18194813,0.0639779,1.7429756,2.8926806,0.5767382,0.9301407,0.18059817,0.18412805,3.631001,3.3150244
110,0.56624156,0.40533453,110,0.3009791,0.20589799,1.263375,0.29433954,0.54752773,0.5422035,0.23821034,0.21980667,3.4729354,3.5448298
111,0.41741735,0.3841172,111,0.5506786,0.5532168,4.0086813,4.28638,0.64756346,0.6041669,0.16769238,0.11953789,3.2949939,3.1473603
112,0.56322724,0.9455819,112,0.682654,0.7043023,4.2598925,4.5753155,0.43434936,0.7160851,0.35093892,0.51458776,4.9418416,4.648142
113,0.44959882,0.07699281,113,0.81468433,0.97641015,3.0723562,5.7240033,0.6986288,0.36797315,0.64177895,0.6595616,3.4869018,3.944875
114,0.5677451,0.76200885,114,0.8278367,0.8411328,4.1095557,2.3320937,0.4505147,0.95450294,0.3183855,0.24270171,5.012121,5.2548275
115,0.686636,0.8171292,115,0.7371664,0.90024495,4.691267,5.560067,0.37281603,0.12419683,0.3667796,0.5561737,3.760357,3.0780892
116,0.5726663,0.02743113,116,0.86184776,0.793657,3.8426988,3.5794144,0.52621853,0.4270962,0.25108337,0.20484084,3.8126924,4.1618547
117,0.38715667,0.40508962,117,0.34813958,0.41359258,4.088076,4.5938883,0.53584254,0.6701788,0.22069463,0.13973057,3.371713,3.551982
118,0.42328632,0.1830756,118,0.3526218,0.28857607,3.8075209,4.2684994,0.7652041,0.8774351,0.29618242,0.30482936,2.2998679,2.1092072
119,0.5229845,0.26278263,119,0.68450856,0.73192525,2.9566426,3.593378,0.76352406,0.90585834,0.30105835,0.20340812,1.0820965,1.48661
